release_date,title,budget,opening_weekend,domestic,worldwide,inf_adj_budget,inf_adj_opening_weekend,inf_adj_domestic,inf_adj_worldwide,org_profit,inf_adj_profit
5/24/1985,A View To A Kill,30000000,13294435,50327960,152627960,72191061,31991312,121107628,367279147,122627960,295088086
11/17/2006,Casino Royale,102000000,40833156,167365000,594420283,130927947,52413738,214830940,763002231,492420283,632074283
12/17/1971,Diamonds Are Forever,7200000,0,43800000,115999985,46016275,0,279932341,741373228,108799985,695356953
11/22/2002,Die Another Day,142000000,47072040,160942139,431942139,204286238,67719507,231537071,621407286,289942139,417121048
5/8/1963,Dr. No,1000000,0,16067035,59567035,8450476,0,135774090,503369785,58567035,494919310
6/26/1981,For Your Eyes Only,28000000,6834967,54800000,195300000,79710321,19457765,156004485,555979487,167300000,476269166
4/8/1964,From Russia With Love,2000000,0,24800000,78900000,16687353,0,206923182,658316092,76900000,641628738
11/17/1995,Goldeneye,60000000,26205007,106429941,356429941,101902550,44505951,180758040,605351999,296429941,503449449
12/22/1964,Goldfinger,3000000,0,51100000,124900000,25031030,0,426361879,1042125220,121900000,1017094190
7/14/1989,Licence To Kill,42000000,8774776,34667015,156167015,87694671,18321455,72383630,326071786,114167015,238377115
6/27/1973,Live And Let Die,7000000,0,35400000,161800000,40799995,0,206331402,943062738,154800000,902262743
6/29/1979,Moonraker,31000000,7108344,70300000,210300000,110560241,25351620,250722094,750026408,179300000,639466167
10/7/1983,Never Say Never Again,36000000,10958157,55500000,160000000,93561911,28479614,144241279,415830716,124000000,322268805
6/10/1983,Octopussy,27500000,8902564,67900000,187500000,71470904,23137247,176468160,487301620,160000000,415830716
12/18/1969,On Her Majesty'S Secret Service,8000000,0,22800000,82000000,56436679,0,160844536,578475962,74000000,522039283
11/14/2008,Quantum Of Solace,230000000,67528882,169368427,591692078,276433739,81162006,203561511,711146319,361692078,434712580
11/8/2012,Skyfall,200000000,88364714,304360277,1110526981,225416335,99594250,343038891,1251654609,910526981,1026238274
11/6/2015,Spectre,300000000,70403148,200074175,879500760,327553130,76869238,218449741,960277423,579500760,632724293
7/31/1987,The Living Daylights,40000000,11051284,51185000,191200000,91124839,25176162,116605622,435576731,151200000,344451892
12/20/1974,The Man With The Golden Gun,7000000,0,21000000,97600000,36740202,0,110220607,512263394,90600000,475523192
7/13/1977,The Spy Who Loved Me,14000000,1347927,46800000,185400000,59785887,5756215,199855680,791735962,171400000,731950075
11/19/1999,The World Is Not Enough,135000000,35519007,126930660,361730660,209745117,55184728,197208045,562009182,226730660,352264065
12/29/1965,Thunderball,9000000,0,63600000,141200000,73917797,0,522352434,1159688109,132200000,1085770312
12/19/1997,Tomorrow Never Dies,110000000,25143007,125304276,339504276,177353230,40538123,202028346,547383454,229504276,370030224
6/13/1967,You Only Live Twice,9500000,0,43100000,111600000,73695711,0,334345803,865730663,102100000,792034953
